name,param: shape_in1,param: shape_in2,param: dtype_in1_in2_out,param: stride_input1,param: stride_input2,param: stride_output,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::div,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(3686400, 0, 921600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,1.7960262425754294,1.7975365692125036,0.008440318968106908,1.7745329135706447,1.8115460715403031,0.14966885354795248,0.14979471410104198,0.0007033599140089121,0.14787774279755372,0.15096217262835862,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(326310.381), 'mean_duration_us': np.float64(2364.5679782608695), 'median_duration_us': np.float64(2362.5295), 'std_dev_duration_us': np.float64(11.0961672854668), 'min_duration_us': np.float64(2344.259), 'max_duration_us': np.float64(2393.155)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(2364.57)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280]]","['float', 'float']","[[353894400, 3686400, 921600, 1280, 1], [3686400, 0, 921600, 1280, 1]]","['', '']",2364.567963088768,2362.529296875,11.136605292533517,2344.2587890625,2393.1552734375,326310.37890625,138,882397
aten::mul,"(1, 96, 4, 720, 1280)","(96, 1, 1, 1)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(1, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.6591142358639093,1.660673025387179,0.006465645701259689,1.641659471151935,1.671085837384184,0.2073892513540212,0.20758410001800187,0.0008082056030375614,0.2052074060609561,0.20888570134108653,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(235490.344), 'mean_duration_us': np.float64(1706.451768115942), 'median_duration_us': np.float64(1704.8245000000002), 'std_dev_duration_us': np.float64(6.643651946979659), 'min_duration_us': np.float64(1694.201), 'max_duration_us': np.float64(1724.569)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1706.45)}]","[[1, 96, 4, 720, 1280], [96, 1, 1, 1]]","['float', 'float']","[[353894400, 3686400, 921600, 1280, 1], [1, 1, 1, 1]]","['', '']",1706.4517450747283,1704.82421875,6.667836906065389,1694.201171875,1724.5693359375,235490.3408203125,138,882399
aten::add_,"(1, 96, 4, 720, 1280)","(1, 96, 1, 1, 1)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(96, 1, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.6808031922902749,1.6831678011797722,0.008596205916055075,1.6528242493093048,1.6920839778466883,0.21010037053959782,0.21039594661069494,0.0010745255937650213,0.2066030031413374,0.21151046854289274,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(232454.15), 'mean_duration_us': np.float64(1684.4503623188405), 'median_duration_us': np.float64(1682.04), 'std_dev_duration_us': np.float64(8.643106071568099), 'min_duration_us': np.float64(1673.177), 'max_duration_us': np.float64(1712.92)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1684.45)}]","[[1, 96, 4, 720, 1280], [1, 96, 1, 1, 1], []]","['float', 'float', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [96, 1, 1, 1, 1], []]","['', '', '1']",1684.4504005321558,1682.0400390625,8.674544863608803,1673.1767578125,1712.919921875,232454.1552734375,138,882391
aten::add,"(1, 96, 4, 720, 1280)",(),"('float', 'double', None)","(353894400, 3686400, 921600, 1280, 1)",(),,0.3538944,2700.0000076293945,0.12499999964678729,1.8433859680117146,1.8436155287527274,0.002073693919428628,1.8370122541234677,1.8472530385513566,0.23042324535035696,0.2304519404429025,0.0002592117391961245,0.22962653111657738,0.23090662916644633,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(211946.88199999998), 'mean_duration_us': np.float64(1535.8469710144927), 'median_duration_us': np.float64(1535.654), 'std_dev_duration_us': np.float64(1.722114957456694), 'min_duration_us': np.float64(1532.63), 'max_duration_us': np.float64(1541.174)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(1535.85)}]","[[1, 96, 4, 720, 1280], [], []]","['float', 'double', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [], []]","['', '', '1']",1535.846976902174,1535.65380859375,1.7284183752156266,1532.6298828125,1541.173828125,211946.8828125,138,882400
aten::mul,"(1, 96, 4, 720, 1280)",(),"('float', 'double', None)","(353894400, 3686400, 921600, 1280, 1)",(),,0.3538944,2700.0000076293945,0.12499999964678729,1.8475328082805913,1.8476197577483515,0.0020601087062642504,1.8425592124320984,1.8522820358610537,0.23094160038250186,0.23095246906594114,0.00025751358755537427,0.23031990090319698,0.23153525382838216,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(211471.157), 'mean_duration_us': np.float64(1532.3996884057972), 'median_duration_us': np.float64(1532.326), 'std_dev_duration_us': np.float64(1.7025813683793591), 'min_duration_us': np.float64(1528.469), 'max_duration_us': np.float64(1536.534)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AU...', 'stream': 7, 'mean_duration_us': np.float64(1532.4)}]","[[1, 96, 4, 720, 1280], []]","['float', 'double']","[[353894400, 3686400, 921600, 1280, 1], []]","['', '']",1532.3996900475543,1532.32568359375,1.7087807816242198,1528.46875,1536.5341796875,211471.1572265625,138,882398
aten::add_,"(1, 192, 4, 360, 640)","(1, 192, 1, 1, 1)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(192, 1, 1, 1, 1)",,0.1769472,1350.000732421875,0.12499993218319652,1.640698490552096,1.6419046729330287,0.030240826889031767,1.3510536802717856,1.6867948896809577,0.20508720005208492,0.20523797276790204,0.0037801013102927447,0.16888161840983126,0.21084924681708217,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(119110.862), 'mean_duration_us': np.float64(863.122188405797), 'median_duration_us': np.float64(862.1565), 'std_dev_duration_us': np.float64(18.156383019239126), 'min_duration_us': np.float64(839.212), 'max_duration_us': np.float64(1047.759)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(863.12)}]","[[1, 192, 4, 360, 640], [1, 192, 1, 1, 1], []]","['float', 'float', 'Scalar']","[[176947200, 921600, 230400, 640, 1], [192, 1, 1, 1, 1], []]","['', '', '1']",863.1221764605979,862.15625,18.222514626718347,839.2119140625,1047.7587890625,119110.8603515625,138,882056
aten::add,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(353894400, 3686400, 921600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,1.8846114916247267,1.8844751317869406,0.0013523875476260901,1.8808684546933754,1.8881218997865543,0.15705095763539392,0.1570395943155784,0.00011269896230217228,0.15673903789111462,0.15734349164887954,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)', 'stream': 7, 'count': 46, 'total_duration_us': np.float64(103655.21200000001), 'mean_duration_us': np.float64(2253.3741739130437), 'median_duration_us': np.float64(2253.536), 'std_dev_duration_us': np.float64(1.5995076593636202), 'min_duration_us': np.float64(2249.184), 'max_duration_us': np.float64(2257.857)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(2253.37)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280], []]","['float', 'float', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [353894400, 3686400, 921600, 1280, 1], []]","['', '', '1']",2253.374214504076,2253.5361328125,1.6172383928818759,2249.18359375,2257.857421875,103655.2138671875,46,882548
aten::div,"(1, 192, 4, 360, 640)","(1, 192, 4, 360, 640)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(921600, 0, 230400, 640, 1)",,0.1769472,2025.0,0.08333333333333333,2.3634868050265574,2.36599400168228,0.04533880312491864,1.9786577306190793,2.4397637281699813,0.19695723375221316,0.19716616680685667,0.003778233593743228,0.16488814421825662,0.20331364401416513,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(103358.69499999999), 'mean_duration_us': np.float64(898.7712608695651), 'median_duration_us': np.float64(897.452), 'std_dev_duration_us': np.float64(19.291023353334666), 'min_duration_us': np.float64(870.316), 'max_duration_us': np.float64(1073.135)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(898.77)}]","[[1, 192, 4, 360, 640], [1, 192, 4, 360, 640]]","['float', 'float']","[[176947200, 921600, 230400, 640, 1], [921600, 0, 230400, 640, 1]]","['', '']",898.7712805706522,897.4521484375,19.375434455467513,870.31640625,1073.134765625,103358.697265625,115,882062
aten::mul,"(1, 192, 4, 360, 640)","(192, 1, 1, 1)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(1, 1, 1, 1)",,0.1769472,1350.000732421875,0.12499993218319652,1.6254122788135916,1.6277063348922969,0.02940131503896376,1.3459566568663137,1.6645161925142533,0.20317642462143387,0.20346318147569645,0.003675162385967264,0.16824449082981113,0.20806441118211413,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(100191.772), 'mean_duration_us': np.float64(871.2328), 'median_duration_us': np.float64(869.677), 'std_dev_duration_us': np.float64(18.293734101527537), 'min_duration_us': np.float64(850.444), 'max_duration_us': np.float64(1051.727)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(871.23)}]","[[1, 192, 4, 360, 640], [192, 1, 1, 1]]","['float', 'float']","[[176947200, 921600, 230400, 640, 1], [1, 1, 1, 1]]","['', '']",871.2327955163043,869.6767578125,18.373757018860683,850.4443359375,1051.7265625,100191.771484375,115,882064
aten::add,"(1, 192, 4, 360, 640)",(),"('float', 'double', None)","(176947200, 921600, 230400, 640, 1)",(),,0.1769472,1350.0000076293945,0.12499999929357458,1.8348042777573588,1.837813454411293,0.031060114237069628,1.5060134197103614,1.844712970044045,0.22935053342351747,0.2297266805031335,0.0038825142576920466,0.188251676399909,0.2305891199523535,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(88754.74299999999), 'mean_duration_us': np.float64(771.7803739130434), 'median_duration_us': np.float64(770.251), 'std_dev_duration_us': np.float64(15.795440223966057), 'min_duration_us': np.float64(767.37), 'max_duration_us': np.float64(939.95)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(771.78)}]","[[1, 192, 4, 360, 640], [], []]","['float', 'double', 'Scalar']","[[176947200, 921600, 230400, 640, 1], [], []]","['', '', '1']",771.780417798913,770.2509765625,15.864581712332809,767.3701171875,939.9501953125,88754.748046875,115,882065
