Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
record_param_comms,record_param_comms,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),47,278814455.245,17280,16135.095789641204,174.786,3520086.104,43.04625759081196,39.51420955964197
other,_attn_fwd_2,_attn_fwd,7,276530727.65,4320,64011.74251157407,3068.125,129749.506,42.69367211874512,39.19055456590546
GEMM,aten::addmm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN,7,23798726.816,10800,2203.5858162962963,2130.677,2320.035,3.6742934434826853,3.3728089091857036
GEMM,aten::mm,nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,7,16468136.665,4320,3812.0686724537036,1731.471,5859.155,2.5425211626827857,2.3339012414755453
GEMM,aten::mm,nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT,7,12162810.746,2160,5630.930900925926,5490.419,5849.696,1.8778204449283151,1.7237408018511546
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn,7,2607941.546,144,18110.705180555557,4433.6,20639.624,0.4026409730881756,0.3696033215974682
triton,triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,7,2460644.974,2463,999.0438384084449,938.51,2686.649,0.3798998057588705,0.3487281212485105
triton,triton_red_fused__to_copy_native_layer_norm_1,triton_red_fused__to_copy_native_layer_norm_1,7,2128213.459,2528,841.8565897943038,800.363,2228.789,0.3285755922656374,0.30161518179780444
triton,triton_poi_fused_all_to_all_single_clone_permute_view_0,triton_poi_fused_all_to_all_single_clone_permute_view_0,7,1934990.99,6480,298.60972067901236,240.418,597.48,0.298743910240407,0.2742312603831548
other,sgl_kernel::rmsnorm,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",7,1717846.213,8640,198.8247931712963,6.08,258.596,0.2652188550311002,0.24345701585691595
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn,7,1587816.797,207,7670.6125458937195,705.386,11265.506,0.24514356972854873,0.22502895556059097
triton,triton_poi_fused_addmm_gelu_view_12,triton_poi_fused_addmm_gelu_view_12,7,1491678.761,2303,647.7111424229266,641.834,691.527,0.2303007859916213,0.21140405760536013
triton,triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,7,1409881.703,2830,498.1914144876325,454.248,2074.612,0.21767211067511177,0.19981159519757702
other,quant_per_block_int8_kernel_0,quant_per_block_int8_kernel,7,1374614.965,4320,318.19790856481484,201.859,754.156,0.212227267124939,0.19481351403785932
triton,triton_poi_fused__to_copy_add_addmm_mul_view_13,triton_poi_fused__to_copy_add_addmm_mul_view_13,7,1279819.811,2160,592.5091717592593,590.12,596.042,0.19759181139198928,0.18137893232973712
other,Torch-Compiled Region: 9/0,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheKernel<true, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",7,1098959.997,2160,508.77777638888887,500.454,519.976,0.16966880383332736,0.15574707409256622
