name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,operation_count,total_direct_kernel_time_mean,total_direct_kernel_time_median,total_direct_kernel_time_std,total_direct_kernel_time_min,total_direct_kernel_time_max,total_direct_kernel_time_sum,ex_UID,kernel_details_summary,trunc_kernel_details,Percentage (%),Cumulative Percentage (%)
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 86400, 10, 128), (1, 86400, 10, 128), (1, 10, 675, 1), (1, 10, 1350, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (6750, 675, 1, 1), (13500, 1350, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '86400', '86400', '675', '10', '1')",2160,124903.51808403863,124927.90380859375,600.0604872079075,122691.7431640625,129749.505859375,269791599.06152344,37926,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(269791599.044), 'mean_duration_us': np.float64(124903.51807592594), 'median_duration_us': np.float64(124927.9035), 'std_dev_duration_us': np.float64(599.921566667318), 'min_duration_us': np.float64(122691.743), 'max_duration_us': np.float64(129749.506)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(124903.52)}]",48.2037006362517,48.2037006362517
aten::copy_,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((351394304,), (351394304,), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((1,), (1,), ())","('', '', 'True')",2106,89004.90700166563,89481.65966796875,2280.853020581608,34046.142578125,90642.173828125,187444334.1455078,30240,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 87, 'count': 2106, 'total_duration_us': np.float64(187444334.165), 'mean_duration_us': np.float64(89004.90701092118), 'median_duration_us': np.float64(89481.65950000001), 'std_dev_duration_us': np.float64(2280.3114306391108), 'min_duration_us': np.float64(34046.143), 'max_duration_us': np.float64(90642.174)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 87, 'mean_duration_us': np.float64(89004.91)}]",33.49070393793518,81.69440457418688
aten::addmm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((5120,), (21600, 5120), (5120, 5120), (), (), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar', 'c10::BFloat16')","((1,), (5120, 1), (1, 5120), (), (), (5120, 1))","('', '', '', '1', '1', '')",10800,2211.564849898727,2212.91455078125,38.90257058743134,2131.541015625,2333.123046875,23884900.37890625,36218,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(86173.087), 'mean_duration_us': np.float64(7.978989537037037), 'median_duration_us': np.float64(12.64), 'std_dev_duration_us': np.float64(6.008083160748077), 'min_duration_us': np.float64(0.8), 'max_duration_us': np.float64(24.864)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(23798726.816), 'mean_duration_us': np.float64(2203.5858162962963), 'median_duration_us': np.float64(2200.6549999999997), 'std_dev_duration_us': np.float64(34.12174304783607), 'min_duration_us': np.float64(2130.677), 'max_duration_us': np.float64(2320.035)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(7.98)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'mean_duration_us': np.float64(2203.59)}]",4.267518305226915,85.96192287941379
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 13824), (13824, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((13824, 1), (1, 13824), (5120, 1))","('', '', '')",2160,5649.733708134404,5646.2216796875,56.97085759094444,5445.818359375,5859.9228515625,12203424.809570312,65558,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2571.427), 'mean_duration_us': np.float64(1.190475462962963), 'median_duration_us': np.float64(0.8), 'std_dev_duration_us': np.float64(0.4565331043022617), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.144)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12200853.788), 'mean_duration_us': np.float64(5648.543420370371), 'median_duration_us': np.float64(5644.9145), 'std_dev_duration_us': np.float64(56.96486372473754), 'min_duration_us': np.float64(5443.803), 'max_duration_us': np.float64(5859.155)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.19)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5648.54)}]",2.1803875224572478,88.14231040187104
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 5120), (5120, 13824), (21600, 13824))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (13824, 1))","('', '', '')",2160,5632.236859809028,5630.6923828125,46.24683712673392,5491.21875,5850.49609375,12165631.6171875,63198,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2821.222), 'mean_duration_us': np.float64(1.3061212962962965), 'median_duration_us': np.float64(1.631), 'std_dev_duration_us': np.float64(0.49726092534986205), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.177)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12162810.746), 'mean_duration_us': np.float64(5630.930900925926), 'median_duration_us': np.float64(5629.402), 'std_dev_duration_us': np.float64(46.202050138909776), 'min_duration_us': np.float64(5490.419), 'max_duration_us': np.float64(5849.696)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.31)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5630.93)}]",2.1736350077827864,90.31594540965384
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 2048, 10, 128), (1, 2048, 10, 128), (1, 10, 675, 1), (1, 10, 32, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (2621440, 1280, 128, 1), (2621440, 1280, 128, 1), (6750, 675, 1, 1), (320, 32, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '2621440', '128', '1280', '2621440', '128', '1280', '110592000', '128', '1280', '86400', '2048', '675', '10', '1')",2160,3119.966946524161,3124.6591796875,17.28436882482009,3068.125,3216.5654296875,6739128.6044921875,57247,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(6739128.606), 'mean_duration_us': np.float64(3119.966947222222), 'median_duration_us': np.float64(3124.659), 'std_dev_duration_us': np.float64(17.28036506274807), 'min_duration_us': np.float64(3068.125), 'max_duration_us': np.float64(3216.565)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(3119.97)}]",1.204080997815143,91.52002640746898
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 5120), (5120, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (5120, 1))","('', '', '')",2160,1976.800114384404,1993.59814453125,55.74386206253505,1732.2705078125,2057.279296875,4269888.2470703125,59860,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2605.763), 'mean_duration_us': np.float64(1.2063717592592593), 'median_duration_us': np.float64(0.8), 'std_dev_duration_us': np.float64(0.4541629411046556), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.176)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(4267282.877), 'mean_duration_us': np.float64(1975.593924537037), 'median_duration_us': np.float64(1992.4299999999998), 'std_dev_duration_us': np.float64(55.74100616340413), 'min_duration_us': np.float64(1731.471), 'max_duration_us': np.float64(2056.511)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.21)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(1975.59)}]",0.7629014970369428,92.28292790450593
aten::cudnn_convolution,CONV_fwd,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 96, 6, 722, 1282), (96, 96, 3, 3, 3), (), (), (), (), (), (), ())","('float', 'float', 'ScalarList', 'ScalarList', 'ScalarList', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((533147904, 5553624, 925604, 1282, 1), (2592, 27, 9, 3, 1), (), (), (), (), (), (), ())","('', '', '[0, 0, 0]', '[1, 1, 1]', '[1, 1, 1]', '1', 'False', 'False', 'True')",138,22961.376599298008,22788.6484375,442.83184925278135,22591.912109375,24949.3798828125,3168669.970703125,882388,"[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(361923.686), 'mean_duration_us': np.float64(2622.635405797101), 'median_duration_us': np.float64(2618.4219999999996), 'std_dev_duration_us': np.float64(13.317079192230567), 'min_duration_us': np.float64(2602.31), 'max_duration_us': np.float64(2669.766)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(612.816), 'mean_duration_us': np.float64(4.440695652173913), 'median_duration_us': np.float64(4.4005), 'std_dev_duration_us': np.float64(0.2044053095220536), 'min_duration_us': np.float64(4.192), 'max_duration_us': np.float64(5.44)}, {'name': 'Memset (Device)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(186.08999999999997), 'mean_duration_us': np.float64(1.3484782608695651), 'median_duration_us': np.float64(1.632), 'std_dev_duration_us': np.float64(0.49305259174155286), 'min_duration_us': np.float64(0.768), 'max_duration_us': np.float64(2.145)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(2581032.226), 'mean_duration_us': np.float64(18703.132072463766), 'median_duration_us': np.float64(18535.0805), 'std_dev_duration_us': np.float64(427.1511014753994), 'min_duration_us': np.float64(18348.299), 'max_duration_us': np.float64(20639.624)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(224915.16499999998), 'mean_duration_us': np.float64(1629.820036231884), 'median_duration_us': np.float64(1629.3829999999998), 'std_dev_duration_us': np.float64(2.777451332514096), 'min_duration_us': np.float64(1625.335), 'max_duration_us': np.float64(1638.104)}]","[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(2622.64)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(4.44)}, {'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.35)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_t...', 'stream': 7, 'mean_duration_us': np.float64(18703.13)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(1629.82)}]",0.5661466821582632,92.84907458666419
triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,triton,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 21600, 5120), (21600, 5120), (5120,), (1, 21600, 5120), (), ())","('float', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar')","((110592000, 1, 21600), (5120, 1), (1,), (110592000, 5120, 1), (), ())","('', '', '', '', '21600', '5120')",2463,999.0438267610638,959.4677734375,198.92586139501518,938.509765625,2686.6494140625,2460644.9453125,59863,"[{'name': 'triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11', 'stream': 7, 'count': 2463, 'total_duration_us': np.float64(2460644.974), 'mean_duration_us': np.float64(999.0438384084449), 'median_duration_us': np.float64(959.468), 'std_dev_duration_us': np.float64(198.88547239889897), 'min_duration_us': np.float64(938.51), 'max_duration_us': np.float64(2686.649)}]","[{'name': 'triton_red_fused__to_copy_add_addmm_empty_like_expand_native_lay...', 'stream': 7, 'mean_duration_us': np.float64(999.04)}]",0.4396437573614043,93.2887183440256
triton_red_fused__to_copy_native_layer_norm_1,triton,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 21600, 5120), (5120,), (5120,), (1, 21600, 5120), (), ())","('float', 'c10::BFloat16', 'c10::BFloat16', 'float', 'Scalar', 'Scalar')","((110592000, 1, 21600), (1,), (1,), (110592000, 5120, 1), (), ())","('', '', '', '', '21600', '5120')",2528,841.8565870840338,812.90869140625,168.9243899425714,800.36328125,2228.7890625,2128213.4521484375,40737,"[{'name': 'triton_red_fused__to_copy_native_layer_norm_1', 'stream': 7, 'count': 2528, 'total_duration_us': np.float64(2128213.459), 'mean_duration_us': np.float64(841.8565897943038), 'median_duration_us': np.float64(812.9085), 'std_dev_duration_us': np.float64(168.89097833623822), 'min_duration_us': np.float64(800.363), 'max_duration_us': np.float64(2228.789)}]","[{'name': 'triton_red_fused__to_copy_native_layer_norm_1', 'stream': 7, 'mean_duration_us': np.float64(841.86)}]",0.3802481785728728,93.66896652259847
