name,param: M,param: N,param: K,param: bias,param: stride_A,param: stride_B,param: dtype_A_B,param: B,param: transpose,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::addmm,21600,5120,5120,True,"(5120, 1)","(1, 5120)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",1132.572672,471.884765625,2288.917861799218,0.22595994261556557,0.22656638239133092,0.003106145933230687,0.2161041844118943,0.2332976685814899,517.2037487038942,518.591839538749,7.109712907926664,494.6447277099369,533.9992007322863,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(12575.356000000002), 'mean_duration_us': np.float64(1.164384814814815), 'median_duration_us': np.float64(0.864), 'std_dev_duration_us': np.float64(0.4328516471021449), 'min_duration_us': np.float64(0.831), 'max_duration_us': np.float64(2.592)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(23641764.876000002), 'mean_duration_us': np.float64(2189.0523033333334), 'median_duration_us': np.float64(2182.7205), 'std_dev_duration_us': np.float64(30.210818320920332), 'min_duration_us': np.float64(2120.094), 'max_duration_us': np.float64(2288.836)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.16)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'mean_duration_us': np.float64(2189.05)}]","[[5120], [21600, 5120], [5120, 5120], [], [], [21600, 5120]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar', 'c10::BFloat16']","[[1], [5120, 1], [1, 5120], [], [], [5120, 1]]","['', '', '', '1', '1', '']",2190.216468822338,2183.9384765625,30.316022024734387,2120.92578125,2289.6689453125,23654337.86328125,10800,50374
aten::mm,21600,5120,13824,False,"(13824, 1)","(1, 13824)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",3057.647616,915.46875,3185.253456221198,0.16993722139594308,0.1700052378493111,0.001833808969070392,0.16436886327001,0.1768686865025714,541.2931217920548,541.509771435225,5.841146356780902,523.5564898259489,563.3715949796191,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(3016.9669999999996), 'mean_duration_us': np.float64(1.3967439814814813), 'median_duration_us': np.float64(1.633), 'std_dev_duration_us': np.float64(0.503093359562616), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(2.176)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12199775.661), 'mean_duration_us': np.float64(5648.0442875), 'median_duration_us': np.float64(5644.902), 'std_dev_duration_us': np.float64(60.95032408731197), 'min_duration_us': np.float64(5426.576), 'max_duration_us': np.float64(5839.316)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.4)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5648.04)}]","[[21600, 13824], [13824, 5120], [21600, 5120]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16']","[[13824, 1], [1, 13824], [5120, 1]]","['', '', '']",5649.441022406684,5646.5234375,60.97399795669191,5427.408203125,5840.1484375,12202792.608398438,2160,85906
aten::mm,21600,13824,5120,False,"(5120, 1)","(1, 5120)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",3057.647616,915.46875,3185.253456221198,0.17090773585837152,0.17112355599208973,0.0014729995928179625,0.164798501965138,0.17521757618354386,544.3844563378176,545.0718981646656,4.69187704403585,524.9249979645318,558.1123901293342,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(3046.226), 'mean_duration_us': np.float64(1.4102898148148149), 'median_duration_us': np.float64(1.663), 'std_dev_duration_us': np.float64(0.5068586325739954), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(3.264)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12129946.431), 'mean_duration_us': np.float64(5615.715940277778), 'median_duration_us': np.float64(5608.2195), 'std_dev_duration_us': np.float64(48.74164872809502), 'min_duration_us': np.float64(5476.728), 'max_duration_us': np.float64(5823.195)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.41)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5615.72)}]","[[21600, 5120], [5120, 13824], [21600, 13824]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16']","[[5120, 1], [1, 5120], [13824, 1]]","['', '', '']",5617.126219346788,5609.62255859375,48.746458158301586,5478.5517578125,5824.9228515625,12132992.633789062,2160,82766
aten::mm,21600,5120,5120,False,"(5120, 1)","(1, 5120)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",1132.46208,471.875,2288.7417218543046,0.2515858114821301,0.24986545542398256,0.007086965404448336,0.23872818401982676,0.28635368714224996,575.8149433657229,571.8774926789958,16.220233402499066,546.3871549486896,655.389630969282,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2645.8959999999997), 'mean_duration_us': np.float64(1.2249518518518516), 'median_duration_us': np.float64(0.833), 'std_dev_duration_us': np.float64(0.43253047151948376), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(2.24)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(4248690.177), 'mean_duration_us': np.float64(1966.9861930555555), 'median_duration_us': np.float64(1978.7645), 'std_dev_duration_us': np.float64(53.28695616871127), 'min_duration_us': np.float64(1725.905), 'max_duration_us': np.float64(2071.805)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.22)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(1966.99)}]","[[21600, 5120], [5120, 5120], [21600, 5120]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16']","[[5120, 1], [1, 5120], [5120, 1]]","['', '', '']",1968.2111246744792,1980.2529296875,53.29942515738976,1727.921875,2072.63671875,4251336.029296875,2160,79425
aten::mm,512,5120,5120,False,"(5120, 1)","(1, 5120)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",26.8435456,60.0,426.6666666666667,0.3395035353926786,0.3159086264995668,0.08996620353287406,0.18076968893627768,1.0952823774226454,144.85484176754287,134.78768063981516,38.38558017402627,77.1284006128118,467.320481033662,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'nvjet_tst_192x128_64x5_1x4_h_bz_coopB_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(425025.866), 'mean_duration_us': np.float64(196.77123425925924), 'median_duration_us': np.float64(199.15449999999998), 'std_dev_duration_us': np.float64(45.48416981971465), 'min_duration_us': np.float64(57.441), 'max_duration_us': np.float64(348.037)}]","[{'name': 'nvjet_tst_192x128_64x5_1x4_h_bz_coopB_TNT', 'stream': 7, 'mean_duration_us': np.float64(196.77)}]","[[512, 5120], [5120, 5120], [512, 5120]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16']","[[5120, 1], [1, 5120], [5120, 1]]","['', '', '']",196.7712357132523,199.154296875,45.49469522327055,57.44140625,348.037109375,425025.869140625,2160,67511
aten::addmm,512,5120,5120,True,"(5120, 1)","(1, 5120)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",26.84616704,60.009765625,426.63889340927585,0.6829456634352444,0.4779707583290731,0.3657473152272697,0.18016971269590504,1.3259320767141327,291.3711821066764,203.92091541550815,156.04202983597605,76.86740685044809,565.6941939451807,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_bf16,"[{'name': 'nvjet_tst_192x128_64x5_1x4_h_bz_coopB_bias_TNT', 'stream': 7, 'count': 2214, 'total_duration_us': np.float64(277192.53), 'mean_duration_us': np.float64(125.1998780487805), 'median_duration_us': np.float64(131.64999999999998), 'std_dev_duration_us': np.float64(65.80175638712173), 'min_duration_us': np.float64(47.457), 'max_duration_us': np.float64(349.253)}]","[{'name': 'nvjet_tst_192x128_64x5_1x4_h_bz_coopB_bias_TNT', 'stream': 7, 'mean_duration_us': np.float64(125.2)}]","[[5120], [512, 5120], [5120, 5120], [], [], [512, 5120]]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar', 'c10::BFloat16']","[[1], [5120, 1], [1, 5120], [], [], [5120, 1]]","['', '', '', '1', '1', '']",125.19988611181685,131.64990234375,65.81662618217202,47.45703125,349.2529296875,277192.5478515625,2214,41517
aten::mm,512,10240,4096,False,"(4096, 1)","(1, 4096)","('float', 'float')",1,,42.94967296,188.0,217.87234042553192,0.16685999342719204,0.16675440679002979,0.0006805595989473652,0.1656091383829061,0.16837010336075506,36.35417729137121,36.331172883615,0.14827511262172433,36.08165057533955,36.683188476896426,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_fp32,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 96, 'total_duration_us': np.float64(630.116), 'mean_duration_us': np.float64(6.5637083333333335), 'median_duration_us': np.float64(6.592), 'std_dev_duration_us': np.float64(3.025964484385745), 'min_duration_us': np.float64(0.96), 'max_duration_us': np.float64(9.729)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas', 'stream': 7, 'count': 96, 'total_duration_us': np.float64(112788.388), 'mean_duration_us': np.float64(1174.8790416666668), 'median_duration_us': np.float64(1175.163), 'std_dev_duration_us': np.float64(2.8438709275265235), 'min_duration_us': np.float64(1168.171), 'max_duration_us': np.float64(1181.164)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(6.56)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_w...', 'stream': 7, 'mean_duration_us': np.float64(1174.88)}]","[[512, 4096], [4096, 10240]]","['float', 'float']","[[4096, 1], [1, 4096]]","['', '']",1181.4427490234375,1182.17138671875,4.812924518231013,1170.8271484375,1190.3466796875,113418.50390625,96,7482
aten::mm,512,12288,4096,False,"(4096, 1)","(1, 4096)","('float', 'float')",1,,51.539607552,224.0,219.42857142857142,0.1632660582015353,0.16318281440703555,0.0005204686421450977,0.16253237297314466,0.1645324679620311,35.82523791393689,35.806971847029516,0.11420569061926622,35.664246412392885,36.103124398525686,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_fp32,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(340.996), 'mean_duration_us': np.float64(7.104083333333333), 'median_duration_us': np.float64(6.672499999999999), 'std_dev_duration_us': np.float64(2.8309982031765557), 'min_duration_us': np.float64(1.76), 'max_duration_us': np.float64(9.792)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(68714.399), 'mean_duration_us': np.float64(1431.5499791666668), 'median_duration_us': np.float64(1431.726), 'std_dev_duration_us': np.float64(2.5695397811798633), 'min_duration_us': np.float64(1425.518), 'max_duration_us': np.float64(1437.965)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(7.1)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_w...', 'stream': 7, 'mean_duration_us': np.float64(1431.55)}]","[[512, 4096], [4096, 12288]]","['float', 'float']","[[4096, 1], [1, 4096]]","['', '']",1438.6539306640625,1439.37353515625,4.57666922621672,1427.56640625,1445.1337890625,69055.388671875,48,7255
aten::mm,512,4096,10240,False,"(10240, 1)","(1, 10240)","('float', 'float')",1,,42.94967296,188.0,217.87234042553192,0.1676244106535757,0.16757536732468892,0.000679780283840628,0.1666259144102612,0.16885924754277454,36.52072266154501,36.51003747669819,0.14810532141548788,36.30317794810798,36.78975946463854,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_fp32,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(298.312), 'mean_duration_us': np.float64(6.214833333333334), 'median_duration_us': np.float64(6.305), 'std_dev_duration_us': np.float64(3.100827237295808), 'min_duration_us': np.float64(0.864), 'max_duration_us': np.float64(9.44)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(56152.307), 'mean_duration_us': np.float64(1169.8397291666668), 'median_duration_us': np.float64(1170.0595), 'std_dev_duration_us': np.float64(1.913982374740168), 'min_duration_us': np.float64(1166.027), 'max_duration_us': np.float64(1173.675)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(6.21)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_w...', 'stream': 7, 'mean_duration_us': np.float64(1169.84)}]","[[512, 10240], [10240, 4096]]","['float', 'float']","[[10240, 1], [1, 10240]]","['', '']",1176.0546061197917,1176.3798828125,4.765882953660837,1167.435546875,1183.0830078125,56450.62109375,48,7511
aten::mm,512,4096,4096,False,"(4096, 1)","(1, 4096)","('float', 'float')",1,,17.179869184,80.0,204.8,0.1757298244770791,0.17571586825599655,0.0018331260690550545,0.17259816654744775,0.17880163674474467,35.989468052905806,35.98660981882809,0.3754242189424774,35.3481045089173,36.61857520532371,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),matrix_fp32,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(298.752), 'mean_duration_us': np.float64(6.224), 'median_duration_us': np.float64(6.288), 'std_dev_duration_us': np.float64(2.7401336037986663), 'min_duration_us': np.float64(0.832), 'max_duration_us': np.float64(9.44)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas', 'stream': 7, 'count': 48, 'total_duration_us': np.float64(22616.881999999998), 'mean_duration_us': np.float64(471.1850416666666), 'median_duration_us': np.float64(470.70849999999996), 'std_dev_duration_us': np.float64(2.657398163291283), 'min_duration_us': np.float64(466.724), 'max_duration_us': np.float64(476.644)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(6.22)}, {'name': 'sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_w...', 'stream': 7, 'mean_duration_us': np.float64(471.19)}]","[[512, 4096], [4096, 4096]]","['float', 'float']","[[4096, 1], [1, 4096]]","['', '']",477.4090983072917,477.39697265625,4.9792559489581425,469.1572265625,486.01953125,22915.63671875,48,7424
