name,param: op_shape,param: dtype_in_out,param: stride_input,param: stride_output,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::copy_,"(5120, 5120)","('c10::BFloat16', 'c10::BFloat16')","(5120, 1)","(5120, 1)",0.0262144,100.0,0.25,0.009548103695453692,0.008020082696645461,0.006727631588803425,0.0014385348196604855,0.020172954676967243,0.002387025923863423,0.0020050206741613645,0.0016819078972008562,0.00035963370491512133,0.00504323866924181,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_bf16,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 966, 'total_duration_us': np.float64(20745349.91), 'mean_duration_us': np.float64(21475.517505175983), 'median_duration_us': np.float64(13074.379), 'std_dev_duration_us': np.float64(17610.34673355786), 'min_duration_us': np.float64(5197.93), 'max_duration_us': np.float64(72891.944)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(21475.52)}]","[[5120, 5120], [5120, 5120], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar']","[[5120, 1], [5120, 1], []]","['', '', 'False']",21475.517496239325,13074.37890625,17619.468895097212,5197.9296875,72891.9443359375,20745349.901367188,966,21833
aten::copy_,"(13824, 5120)","('c10::BFloat16', 'c10::BFloat16')","(5120, 1)","(5120, 1)",0.07077888,270.0,0.25,0.009477244163424497,0.00784535796202546,0.00697542017564135,0.0016241576604794133,0.019943765426718482,0.0023693110408561243,0.001961339490506365,0.0017438550439103375,0.00040603941511985333,0.0049859413566796205,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_bf16,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 120, 'total_duration_us': np.float64(7297151.857000001), 'mean_duration_us': np.float64(60809.59880833334), 'median_duration_us': np.float64(36087.0115), 'std_dev_duration_us': np.float64(50387.310789155155), 'min_duration_us': np.float64(14195.69), 'max_duration_us': np.float64(174315.294)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(60809.6)}]","[[13824, 5120], [13824, 5120], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar']","[[5120, 1], [5120, 1], []]","['', '', 'False']",60809.59881998698,36087.01171875,50598.5792864393,14195.6904296875,174315.2939453125,7297151.8583984375,120,22013
aten::copy_,"(5120, 13824)","('c10::BFloat16', 'c10::BFloat16')","(13824, 1)","(13824, 1)",0.07077888,270.0,0.25,0.00962673809023552,0.00787157589288789,0.007113299091639596,0.0016490210846566162,0.020231552150888666,0.00240668452255888,0.0019678939732219727,0.001778324772909899,0.00041225527116415405,0.0050578880377221665,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_bf16,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 120, 'total_duration_us': np.float64(7130311.135), 'mean_duration_us': np.float64(59419.259458333334), 'median_duration_us': np.float64(35966.819), 'std_dev_duration_us': np.float64(48587.61178114369), 'min_duration_us': np.float64(13993.762), 'max_duration_us': np.float64(171687.022)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(59419.26)}]","[[5120, 13824], [5120, 13824], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar']","[[13824, 1], [13824, 1], []]","['', '', 'False']",59419.259448242185,35966.81884765625,48791.334320258684,13993.76171875,171687.0224609375,7130311.1337890625,120,22025
aten::copy_,"(41943040,)","('float', 'float')","(1,)","(1,)",0.04194304,320.0,0.125,0.8670821948410541,0.8962944026823412,0.8348256450209748,0.027873015841906552,1.7069260376758604,0.10838527435513177,0.11203680033529266,0.10435320562762186,0.0034841269802383195,0.21336575470948257,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'count': 288, 'total_duration_us': np.float64(1520354.57), 'mean_duration_us': np.float64(5279.008923611112), 'median_duration_us': np.float64(1732.6885), 'std_dev_duration_us': np.float64(5216.891298408461), 'min_duration_us': np.float64(196.578), 'max_duration_us': np.float64(12038.321)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'mean_duration_us': np.float64(5279.01)}]","[[41943040], [41943040], []]","['float', 'float', 'Scalar']","[[1], [1], []]","['', '', 'True']",5279.008900960286,1732.6884765625,5225.972035090115,196.578125,12038.3212890625,1520354.5634765625,288,7432
aten::copy_,"(50331648,)","('float', 'float')","(1,)","(1,)",0.050331648,384.0,0.125,0.8732666743586823,0.8875698756429868,0.8444611192993737,0.027921370488162484,1.7168495056025384,0.10915833429483529,0.11094623445537335,0.10555763991242172,0.0034901713110203104,0.2146061882003173,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'count': 96, 'total_duration_us': np.float64(619495.9889999998), 'mean_duration_us': np.float64(6453.083218749998), 'median_duration_us': np.float64(2627.2245), 'std_dev_duration_us': np.float64(6379.312449124551), 'min_duration_us': np.float64(234.53), 'max_duration_us': np.float64(14420.968)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'mean_duration_us': np.float64(6453.08)}]","[[50331648], [50331648], []]","['float', 'float', 'Scalar']","[[1], [1], []]","['', '', 'True']",6453.0832112630205,2627.224609375,6412.79990940619,234.5302734375,14420.9677734375,619495.98828125,96,437
aten::copy_,"(1050148864,)","('float', 'float')","(1,)","(1,)",1.050148864,8012.0,0.12500000000000003,0.8622615423314415,0.8620729034141803,0.9633758141458449,0.02774431873775568,1.6971560437596493,0.1077826927914302,0.10775911292677257,0.12042197676823065,0.003468039842219461,0.2121445054699562,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'count': 4, 'total_duration_us': np.float64(611015.819), 'mean_duration_us': np.float64(152753.95475), 'median_duration_us': np.float64(151629.0245), 'std_dev_duration_us': np.float64(147810.6589546153), 'min_duration_us': np.float64(4950.158), 'max_duration_us': np.float64(302807.612)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'mean_duration_us': np.float64(152753.95)}]","[[1050148864], [1050148864], []]","['float', 'float', 'Scalar']","[[1], [1], []]","['', '', 'True']",152753.95483398438,151629.0244140625,170677.04745040892,4950.158203125,302807.6123046875,611015.8193359375,4,412
aten::copy_,"(1, 96, 6, 720, 1280)","('float', 'float')","(533147904, 5553624, 925604, 1282, 1)","(530841600, 5529600, 921600, 1280, 1)",0.5308416,4050.0,0.125,1.6128638236314974,1.6181280418588586,0.013187972443435763,1.5549634728680395,1.6277840490687319,0.20160797795393717,0.20226600523235733,0.0016484965554294704,0.19437043410850494,0.20347300613359148,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})', 'stream': 7, 'count': 154, 'total_duration_us': np.float64(405515.376), 'mean_duration_us': np.float64(2633.216727272727), 'median_duration_us': np.float64(2624.4725), 'std_dev_duration_us': np.float64(21.852674643952653), 'min_duration_us': np.float64(2608.904), 'max_duration_us': np.float64(2731.082)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(2633.22)}]","[[1, 96, 6, 720, 1280], [1, 96, 6, 720, 1280], []]","['float', 'float', 'Scalar']","[[533147904, 5553624, 925604, 1282, 1], [530841600, 5529600, 921600, 1280, 1], []]","['', '', 'False']",2633.2167461444806,2624.47265625,21.923941769642752,2608.904296875,2731.08203125,405515.37890625,154,553752
aten::copy_,"(30720, 5120)","('c10::BFloat16', 'c10::BFloat16')","(5120, 1)","(5120, 1)",0.1572864,600.0,0.25,0.009868123365800556,0.007904419393613967,0.007382405697840673,0.0036661174802677444,0.01803383322351996,0.002467030841450139,0.001976104848403492,0.0018456014244601683,0.0009165293700669361,0.00450845830587999,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_bf16,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 3, 'total_duration_us': np.float64(286091.983), 'mean_duration_us': np.float64(95363.99433333334), 'median_duration_us': np.float64(79594.157), 'std_dev_duration_us': np.float64(56920.25170849687), 'min_duration_us': np.float64(34886.959), 'max_duration_us': np.float64(171610.867)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(95363.99)}]","[[30720, 5120], [30720, 5120], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar']","[[5120, 1], [5120, 1], []]","['', '', 'False']",95363.99446614583,79594.1572265625,69712.7864419889,34886.958984375,171610.8671875,286091.9833984375,3,21845
aten::copy_,"(16777216,)","('float', 'float')","(1,)","(1,)",0.016777216,128.0,0.125,0.8592470648367191,0.8689040404800976,0.831874849234136,0.027546906355438768,1.693953946780058,0.10740588310458989,0.1086130050600122,0.103984356154267,0.003443363294429846,0.21174424334750724,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'count': 96, 'total_duration_us': np.float64(211536.84), 'mean_duration_us': np.float64(2203.50875), 'median_duration_us': np.float64(1156.4910000000002), 'std_dev_duration_us': np.float64(2161.6698491286825), 'min_duration_us': np.float64(79.233), 'max_duration_us': np.float64(4872.334)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 7, 'mean_duration_us': np.float64(2203.51)}]","[[16777216], [16777216], []]","['float', 'float', 'Scalar']","[[1], [1], []]","['', '', 'True']",2203.5087687174478,1156.4912109375,2173.0172719299926,79.2333984375,4872.333984375,211536.841796875,96,449
aten::copy_,"(1, 192, 6, 360, 640)","('float', 'float')","(267729408, 1394424, 232404, 642, 1)","(265420800, 1382400, 230400, 640, 1)",0.2654208,2025.0,0.125,1.5644238621417375,1.5642191763303268,0.009600466678011132,1.5407560002494316,1.591494757860574,0.19555298276771718,0.19552739704129085,0.0012000583347513915,0.19259450003117895,0.19893684473257175,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})', 'stream': 7, 'count': 132, 'total_duration_us': np.float64(179168.09100000001), 'mean_duration_us': np.float64(1357.334022727273), 'median_duration_us': np.float64(1357.461), 'std_dev_duration_us': np.float64(8.2939214657354), 'min_duration_us': np.float64(1334.196), 'max_duration_us': np.float64(1378.133)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1357.33)}]","[[1, 192, 6, 360, 640], [1, 192, 6, 360, 640], []]","['float', 'float', 'Scalar']","[[267729408, 1394424, 232404, 642, 1], [265420800, 1382400, 230400, 640, 1], []]","['', '', 'False']",1357.334013967803,1357.4609375,8.325469285410968,1334.1962890625,1378.1328125,179168.08984375,132,553435
