deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
0,35,5,771.751936,10119.774430602007
0,36,8,1275.068416,10672.709121503856
0,37,5,771.751936,10294.986514743763
0,38,10,1543.503872,10486.109703938642
0,39,5,771.751936,10354.3153475625
0,40,7,1040.187392,10439.378551426602
0,41,8,1275.068416,10476.130798738508
0,42,7,1040.187392,10288.878749776519
0,43,8,1275.068416,10340.87238713278
0,44,5,771.751936,10638.622116681876
0,45,10,1543.503872,10480.885725233387
0,46,5,771.751936,10551.749883608678
0,47,7,1040.187392,10439.374428555417
0,48,8,1275.068416,10487.408001162941
0,49,7,1040.187392,10450.487851041416
0,50,8,1275.068416,10256.30078847381
0,51,5,771.751936,10743.626517390356
0,52,3,4469.030912,10508.942154313192
0,107,18,1032.84736,11758.721295484771
0,108,29,1787.82208,11496.502474562923
0,109,25,1756.3648,11321.051701241782
0,110,26,1808.7936,11335.165737430867
0,111,24,1703.936,11467.8179314277
0,112,19,1530.92096,11350.820319952129
0,113,23,1562.37824,11342.559762392299
0,114,24,1554.51392,11447.441821645196
0,115,24,1525.67808,11462.380761260123
0,116,23,1562.37824,11496.71560343135
0,117,16,1462.76352,11256.095778280329
0,118,7,718.27456,11189.465426894672
0,119,9,509.21472,14545.824988434748
0,120,6,492.83072,11033.568815045403
0,121,25,1578.10688,11546.092421951249
0,122,19,1479.14752,13034.085164949667
0,123,22,1599.0784,11465.311552346167
0,124,23,1562.37824,11456.801051525374
0,125,25,1578.10688,12155.469912308834
0,126,20,1761.60768,12460.809768636325
0,179,27,1682.96448,10853.665803240528
0,180,35,2191.52384,11298.835241356652
0,181,32,2212.49536,11196.965098897603
0,182,21,1368.39168,11425.49382696148
0,183,5,440.40192,11197.21728545143
0,184,22,1688.20736,11526.068035655231
0,185,29,2222.98112,10972.570121033312
0,186,37,2157.44512,11531.211598377009
0,187,30,2196.76672,11152.143331429408
0,188,28,2213.15072,12229.669389686593
0,189,30,2285.89568,11219.8277042498
0,190,33,2354.05312,11251.108293264508
0,191,35,2318.00832,12132.636036854406
0,192,34,2495.61088,11134.809062185468
0,193,9,739.24608,10987.24218672673
0,196,3,4469.030912,14505.350544070707
0,199,42,6509.559808,17837.819208496065
0,200,77,15944.646656,16498.16435381802
0,201,66,10234.10176,15874.044080817304
0,202,54,8287.944704,17934.437636210056
0,623,22,1481.76896,10588.491347044763
0,624,125,8870.95296,9519.544831382069
0,625,126,8745.12384,9402.072198957207
0,626,56,4005.56032,5660.610834678984
0,627,42,2915.04128,3287.0109504513107
0,628,36,2548.69504,3587.037336519698
0,829,2,2057.0112,13605.25266877979
1,35,5,771.751936,9926.380957439733
1,36,8,1275.068416,10196.917075060705
1,37,5,771.751936,10167.928535770008
1,38,5,771.751936,10140.53861012383
1,39,7,1040.187392,10184.5549183891
1,40,8,1275.068416,10168.873760970684
1,41,5,771.751936,10198.045241185933
1,42,7,1040.187392,10167.068876807814
1,43,8,1275.068416,10122.426584614857
1,44,5,771.751936,10117.374413078845
1,45,5,771.751936,10182.626674891246
1,46,7,1040.187392,10104.693393649362
1,47,8,1275.068416,10138.942603519388
1,48,5,771.751936,10228.520282395606
1,49,7,1040.187392,10130.440456464026
1,50,8,1275.068416,10013.47305543056
1,51,5,771.751936,10213.545433190462
1,52,6,973.078528,9997.405310820557
1,53,6,838.8608,10081.714531950003
1,54,1,4200.595456,10254.747794560986
1,107,20,1226.83392,11648.126570943577
1,108,28,1735.39328,11423.40212910246
1,109,28,1824.52224,11161.556328698216
1,110,24,1793.06496,11016.540230348583
1,111,22,1509.94944,11266.85860193349
1,112,19,1530.92096,11186.483809186897
1,113,21,1536.16384,11203.098679683517
1,114,27,1544.02816,11518.26512229833
1,115,23,1562.37824,11196.847362452156
1,116,22,1599.0784,11369.661552305108
1,117,17,1599.0784,11058.699015611091
1,118,20,1531.57632,12967.804201571229
1,119,26,1541.40672,11563.512669536352
1,120,20,1531.57632,12987.37502758841
1,121,24,1614.80704,11400.119118311275
