name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,ex_UID,operation_count,total_duration_us,mean_duration_us,std_duration_us,GFLOPS,Data Moved (MB),FLOPS/Byte,Compute Spec,TB/s_mean,TB/s_std,TFLOPS/s_mean,TFLOPS/s_std,Kernel Time (µs)_mean,Kernel Time (µs)_std,Kernel Time (µs)_sum,duration_us_median,duration_us_min,duration_us_max,TB/s_median,TB/s_min,TB/s_max,TFLOPS/s_median,TFLOPS/s_min,TFLOPS/s_max,Kernel Time (µs)_median,Kernel Time (µs)_min,Kernel Time (µs)_max,kernel_details_summary,trunc_kernel_details,perf_params,has_perf_model,Percentage (%),Cumulative Percentage (%)
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 86400, 10, 128), (1, 86400, 10, 128), (1, 10, 675, 1), (1, 10, 1350, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (6750, 675, 1, 1), (13500, 1350, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '86400', '86400', '675', '10', '1')",37926,2160,48122.701,22.27902824074074,2.2471578588214167,,,,,,,,,124903.51808403863,600.0604872079075,269791599.06152344,21.6325,19.672,72.193,,,,,,,124927.90380859375,122691.7431640625,129749.505859375,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(269791599.044), 'mean_duration_us': np.float64(124903.51807592594), 'median_duration_us': np.float64(124927.9035), 'std_dev_duration_us': np.float64(599.921566667318), 'min_duration_us': np.float64(122691.743), 'max_duration_us': np.float64(129749.506)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(124903.52)}]",,False,48.20772875507843,48.20772875507843
aten::copy_,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((351394304,), (351394304,), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((1,), (1,), ())","('', '', 'True')",30240,2106,58666.601,27.856885565052234,17.4081949197934,0.351394304,1340.462890625,0.25,vector_bf16,0.015812696946219482,0.0008490079143405981,0.00395317423655487,0.00021225197858514952,89004.90700166563,2280.853020581608,187444334.1455078,26.5975,23.573,618.353,0.01570799224574987,0.015506878935463804,0.04128447775763878,0.0039269980614374655,0.00387671973386595,0.010321119439409693,89481.65966796875,34046.142578125,90642.173828125,"[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 87, 'count': 2106, 'total_duration_us': np.float64(187444334.165), 'mean_duration_us': np.float64(89004.90701092118), 'median_duration_us': np.float64(89481.65950000001), 'std_dev_duration_us': np.float64(2280.3114306391108), 'min_duration_us': np.float64(34046.143), 'max_duration_us': np.float64(90642.174)}]","[{'name': 'Memcpy HtoD (Pinned -> Device)', 'stream': 87, 'mean_duration_us': np.float64(89004.91)}]","{'op_shape': (351394304,), 'dtype_in_out': ('c10::BFloat16', 'c10::BFloat16'), 'stride_input': (1,), 'stride_output': (1,)}",True,33.493502572340255,81.70123132741868
aten::addmm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((5120,), (21600, 5120), (5120, 5120), (), (), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar', 'c10::BFloat16')","((1,), (5120, 1), (1, 5120), (), (), (5120, 1))","('', '', '', '1', '1', '')",36218,10800,753422.841,69.76137416666667,1201.6093228124967,1132.572672,471.884765625,2288.917861799218,matrix_bf16,0.2238051770933883,0.003924069773335388,512.2716674121936,8.981873395133718,2211.564849898727,38.90257058743134,23884900.37890625,55.79,20.545,94821.706,0.22359970467384915,0.21207927317110334,0.23213582866709004,511.80135792100333,485.432036478734,531.3398445996652,2212.91455078125,2131.541015625,2333.123046875,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(86173.087), 'mean_duration_us': np.float64(7.978989537037037), 'median_duration_us': np.float64(12.64), 'std_dev_duration_us': np.float64(6.008083160748077), 'min_duration_us': np.float64(0.8), 'max_duration_us': np.float64(24.864)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(23798726.816), 'mean_duration_us': np.float64(2203.5858162962963), 'median_duration_us': np.float64(2200.6549999999997), 'std_dev_duration_us': np.float64(34.12174304783607), 'min_duration_us': np.float64(2130.677), 'max_duration_us': np.float64(2320.035)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(7.98)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'mean_duration_us': np.float64(2203.59)}]","{'M': 21600, 'N': 5120, 'K': 5120, 'bias': True, 'stride_A': (5120, 1), 'stride_B': (1, 5120), 'dtype_A_B': ('c10::BFloat16', 'c10::BFloat16'), 'B': 1, 'transpose': (True, False)}",True,4.267874918320967,85.96910624573965
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 13824), (13824, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((13824, 1), (1, 13824), (5120, 1))","('', '', '')",65558,2160,43635.975,20.201840277777777,10.446755420648524,3057.647616,915.46875,3185.253456221198,matrix_bf16,0.1699258762899884,0.0017104545050137866,541.2569847541013,5.448231123804266,5649.733708134404,56.97085759094444,12203424.809570312,19.7875,17.123,494.057,0.17001432364138713,0.16381419761252322,0.17627076348359316,541.5387119858378,521.789739123392,561.4670586168645,5646.2216796875,5445.818359375,5859.9228515625,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2571.427), 'mean_duration_us': np.float64(1.190475462962963), 'median_duration_us': np.float64(0.8), 'std_dev_duration_us': np.float64(0.4565331043022617), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.144)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12200853.788), 'mean_duration_us': np.float64(5648.543420370371), 'median_duration_us': np.float64(5644.9145), 'std_dev_duration_us': np.float64(56.96486372473754), 'min_duration_us': np.float64(5443.803), 'max_duration_us': np.float64(5859.155)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.19)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5648.54)}]","{'M': 21600, 'N': 5120, 'K': 13824, 'bias': False, 'stride_A': (13824, 1), 'stride_B': (1, 13824), 'dtype_A_B': ('c10::BFloat16', 'c10::BFloat16'), 'B': 1, 'transpose': (True, False)}",True,2.1805697254813485,88.149675971221
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 5120), (5120, 13824), (21600, 13824))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (13824, 1))","('', '', '')",63198,2160,61113.491,28.293282870370373,59.754032608412246,3057.647616,915.46875,3185.253456221198,matrix_bf16,0.1704479023498719,0.001393284993583411,542.9197700655827,4.437965841312451,5632.236859809028,46.24683712673392,12165631.6171875,25.319499999999998,21.776,2786.478,0.17048321853605874,0.16407814732591453,0.17481338910419478,543.032261069695,522.6304858602402,556.8249518378776,5630.6923828125,5491.21875,5850.49609375,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2821.222), 'mean_duration_us': np.float64(1.3061212962962965), 'median_duration_us': np.float64(1.631), 'std_dev_duration_us': np.float64(0.49726092534986205), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.177)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12162810.746), 'mean_duration_us': np.float64(5630.930900925926), 'median_duration_us': np.float64(5629.402), 'std_dev_duration_us': np.float64(46.202050138909776), 'min_duration_us': np.float64(5490.419), 'max_duration_us': np.float64(5849.696)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.31)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5630.93)}]","{'M': 21600, 'N': 13824, 'K': 5120, 'bias': False, 'stride_A': (5120, 1), 'stride_B': (1, 5120), 'dtype_A_B': ('c10::BFloat16', 'c10::BFloat16'), 'B': 1, 'transpose': (True, False)}",True,2.1738166465362787,90.32349261775728
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 2048, 10, 128), (1, 2048, 10, 128), (1, 10, 675, 1), (1, 10, 32, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (2621440, 1280, 128, 1), (2621440, 1280, 128, 1), (6750, 675, 1, 1), (320, 32, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '2621440', '128', '1280', '2621440', '128', '1280', '110592000', '128', '1280', '86400', '2048', '675', '10', '1')",57247,2160,51744.136,23.955618518518516,2.940975694241163,,,,,,,,,3119.966946524161,17.28436882482009,6739128.6044921875,23.1635,20.079,54.402,,,,,,,3124.6591796875,3068.125,3216.5654296875,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(6739128.606), 'mean_duration_us': np.float64(3119.966947222222), 'median_duration_us': np.float64(3124.659), 'std_dev_duration_us': np.float64(17.28036506274807), 'min_duration_us': np.float64(3068.125), 'max_duration_us': np.float64(3216.565)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(3119.97)}]",,False,1.204181616258793,91.52767423401608
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((21600, 5120), (5120, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (5120, 1))","('', '', '')",59860,2160,578084.9870000001,267.63193842592597,10376.991248471259,1132.46208,471.875,2288.7417218543046,matrix_bf16,0.25050945502391286,0.007370805152889688,573.3514414322138,16.869869277077324,1976.800114384404,55.74386206253505,4269888.2470703125,42.001000000000005,35.642,482323.063,0.24819284743545064,0.24051027040985373,0.28563483461069034,568.0493249913361,550.4658904214931,653.744363188441,1993.59814453125,1732.2705078125,2057.279296875,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2605.763), 'mean_duration_us': np.float64(1.2063717592592593), 'median_duration_us': np.float64(0.8), 'std_dev_duration_us': np.float64(0.4541629411046556), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.176)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(4267282.877), 'mean_duration_us': np.float64(1975.593924537037), 'median_duration_us': np.float64(1992.4299999999998), 'std_dev_duration_us': np.float64(55.74100616340413), 'min_duration_us': np.float64(1731.471), 'max_duration_us': np.float64(2056.511)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.21)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(1975.59)}]","{'M': 21600, 'N': 5120, 'K': 5120, 'bias': False, 'stride_A': (5120, 1), 'stride_B': (1, 5120), 'dtype_A_B': ('c10::BFloat16', 'c10::BFloat16'), 'B': 1, 'transpose': (True, False)}",True,0.7629652485299317,92.29063948254601
aten::convolution,CONV_fwd,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 96, 6, 722, 1282), (96, 96, 3, 3, 3), (96,), (), (), (), (), (), ())","('float', 'float', 'float', 'ScalarList', 'ScalarList', 'ScalarList', 'Scalar', 'ScalarList', 'Scalar')","((533147904, 5553624, 925604, 1282, 1), (2592, 27, 9, 3, 1), (1,), (), (), (), (), (), ())","('', '', '', '[1, 1, 1]', '[0, 0, 0]', '[1, 1, 1]', 'False', '[0, 0, 0]', '1')",882386,138,36332.722,263.28059420289856,310.5193463298993,1834.5885696,3384.7470703125,516.9071613491245,matrix_fp32,0.14405264147351965,0.002533111407453869,74.4618419889202,1.3093834270080649,24645.826999830162,450.2347981241143,3401124.1259765625,116.2225,61.024,1425.927,0.14502846697254695,0.1331546172448268,0.14626108723405412,74.9662531775945,68.82857522055261,75.60340341799159,24472.1923828125,24265.9521484375,26654.4609375,"[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(360972.28099999996), 'mean_duration_us': np.float64(2615.7411666666662), 'median_duration_us': np.float64(2618.326), 'std_dev_duration_us': np.float64(80.99000048866144), 'min_duration_us': np.float64(1680.633), 'max_duration_us': np.float64(2669.766)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(3240.4700000000003), 'mean_duration_us': np.float64(23.48166666666667), 'median_duration_us': np.float64(4.416), 'std_dev_duration_us': np.float64(222.86410158195594), 'min_duration_us': np.float64(4.192), 'max_duration_us': np.float64(2632.038)}, {'name': 'Memset (Device)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(188.522), 'mean_duration_us': np.float64(1.3661014492753623), 'median_duration_us': np.float64(1.632), 'std_dev_duration_us': np.float64(0.5540052619675689), 'min_duration_us': np.float64(0.768), 'max_duration_us': np.float64(4.384)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(2561979.374), 'mean_duration_us': np.float64(18565.06792753623), 'median_duration_us': np.float64(18534.858500000002), 'std_dev_duration_us': np.float64(1642.1953316360866), 'min_duration_us': np.float64(1.952), 'max_duration_us': np.float64(20639.624)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(242340.08999999997), 'mean_duration_us': np.float64(1756.0876086956519), 'median_duration_us': np.float64(1629.3829999999998), 'std_dev_duration_us': np.float64(1477.9316915598508), 'min_duration_us': np.float64(1625.335), 'max_duration_us': np.float64(19054.804)}, {'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(232403.396), 'mean_duration_us': np.float64(1684.082579710145), 'median_duration_us': np.float64(1682.04), 'std_dev_duration_us': np.float64(9.800121222861323), 'min_duration_us': np.float64(1629.879), 'max_duration_us': np.float64(1712.92)}]","[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(2615.74)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(23.48)}, {'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.37)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_t...', 'stream': 7, 'mean_duration_us': np.float64(18565.07)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(1756.09)}, {'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1684.08)}]","{'convNd': 'conv3d', 'input_shape': (1, 96, 6, 722, 1282), 'filter_shape': (96, 96, 3, 3, 3), 'dtype_input_weight': ('float', 'float'), 'input_stride': (533147904, 5553624, 925604, 1282, 1), 'weight_stride': (2592, 27, 9, 3, 1), 'bias': False, 'stride': (1, 1, 1), 'padding': (0, 0, 0), 'dilation': (1, 1, 1), 'transposed_conv': False, 'output_padding': (0, 0, 0), 'groups': 1}",True,0.607730077206895,92.89836955975291
triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,triton,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 21600, 5120), (21600, 5120), (5120,), (1, 21600, 5120), (), ())","('float', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar')","((110592000, 1, 21600), (5120, 1), (1,), (110592000, 5120, 1), (), ())","('', '', '', '', '21600', '5120')",59863,2463,41711.972,16.935433211530654,3.7094780043134814,,,,,,,,,999.0438267610638,198.92586139501518,2460644.9453125,16.179,9.492,70.511,,,,,,,959.4677734375,938.509765625,2686.6494140625,"[{'name': 'triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11', 'stream': 7, 'count': 2463, 'total_duration_us': np.float64(2460644.974), 'mean_duration_us': np.float64(999.0438384084449), 'median_duration_us': np.float64(959.468), 'std_dev_duration_us': np.float64(198.88547239889897), 'min_duration_us': np.float64(938.51), 'max_duration_us': np.float64(2686.649)}]","[{'name': 'triton_red_fused__to_copy_add_addmm_empty_like_expand_native_lay...', 'stream': 7, 'mean_duration_us': np.float64(999.04)}]",,False,0.439680495978413,93.33805005573132
triton_red_fused__to_copy_native_layer_norm_1,triton,sgl_diffusion::scheduler_TP0,CPU,thread 1814229 (sgl_diffusion::),"((1, 21600, 5120), (5120,), (5120,), (1, 21600, 5120), (), ())","('float', 'c10::BFloat16', 'c10::BFloat16', 'float', 'Scalar', 'Scalar')","((110592000, 1, 21600), (1,), (1,), (110592000, 5120, 1), (), ())","('', '', '', '', '21600', '5120')",40737,2528,42888.865,16.96553204113924,3.8203613265469847,,,,,,,,,841.8565870840338,168.9243899425714,2128213.4521484375,16.9885,9.136,52.744,,,,,,,812.90869140625,800.36328125,2228.7890625,"[{'name': 'triton_red_fused__to_copy_native_layer_norm_1', 'stream': 7, 'count': 2528, 'total_duration_us': np.float64(2128213.459), 'mean_duration_us': np.float64(841.8565897943038), 'median_duration_us': np.float64(812.9085), 'std_dev_duration_us': np.float64(168.89097833623822), 'min_duration_us': np.float64(800.363), 'max_duration_us': np.float64(2228.789)}]","[{'name': 'triton_red_fused__to_copy_native_layer_norm_1', 'stream': 7, 'mean_duration_us': np.float64(841.86)}]",,False,0.38027995382719393,93.71833000955851
