Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
other,_attn_fwd_2,_attn_fwd,7,278267285.361,4320,64413.723463194445,3067.9,129722.565,47.878018993845764,43.520636947970395
record_param_comms,record_param_comms,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),47,211505680.019,17280,12239.912038136574,188.898,1932603.1,36.39117315612122,33.07920979858951
GEMM,aten::addmm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN,7,23641764.876,10800,2189.0523033333334,2120.094,2288.836,4.067746829501381,3.697540890021843
GEMM,aten::mm,nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,7,16448465.838,4320,3807.5152402777776,1725.905,5839.316,2.8300846029734563,2.5725183941691614
GEMM,aten::mm,nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT,7,12129946.431,2160,5615.715940277778,5476.728,5823.195,2.087050243309502,1.8971076464738723
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn,7,2608650.835,144,18115.63079861111,4487.556,21368.231,0.4488383679900099,0.40798955495889705
triton,triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,7,2455257.643,2464,996.4519655032468,940.142,2692.409,0.4224458937522463,0.38399906175139786
triton,triton_red_fused__to_copy_native_layer_norm_1,triton_red_fused__to_copy_native_layer_norm_1,7,2114627.01,2527,836.8132212109219,797.005,2234.069,0.36383778286525426,0.33072487936621964
other,sgl_kernel::rmsnorm,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",7,1724719.905,8640,199.620359375,5.856,257.668,0.2967512773322479,0.2697439216581476
triton,triton_poi_fused_all_to_all_single_clone_permute_view_0,triton_poi_fused_all_to_all_single_clone_permute_view_0,7,1624945.77,6480,250.76323611111113,241.028,350.148,0.279584372769869,0.254139378348288
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn,7,1601990.895,207,7739.086449275363,719.595,11263.34,0.2756348106076279,0.25054926613022754
triton,triton_poi_fused_addmm_gelu_view_12,triton_poi_fused_addmm_gelu_view_12,7,1522486.475,2350,647.866585106383,641.001,697.959,0.26195546585132123,0.2381148795508273
triton,triton_poi_fused__to_copy_add_addmm_mul_view_13,triton_poi_fused__to_copy_add_addmm_mul_view_13,7,1480222.073,2483,596.1425988723319,591.817,627.462,0.25468355158696787,0.23150478274092445
triton,triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,7,1401344.203,2830,495.17463003533567,452.391,2059.955,0.24111200955983103,0.21916838775634775
other,quant_per_block_int8_kernel_0,quant_per_block_int8_kernel,7,1189586.686,4320,275.36728842592595,201.155,641.802,0.20467750592113426,0.1860497909856032
triton,triton_poi_fused_copy__0,triton_poi_fused_copy__0,7,1101575.893,2307,477.49280147377544,473.703,561.765,0.1895345745001775,0.17228501887203299
other,Torch-Compiled Region: 8/0,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheKernel<true, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",7,1092126.679,2160,505.6142032407407,498.277,517.48,0.1879087648158591,0.17080717424719982
elementwise,aten::fill_,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",7,1052990.282,25377,41.493883516570115,21.632,138.145,0.18117504778374077,0.16468629329966405
triton,triton_poi_fused_add_mul_0,triton_poi_fused_add_mul_0,7,1036131.28,2160,479.6904074074074,476.453,483.463,0.17827432728788328,0.16204956759044084
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn,7,930762.346,415,2242.8008337349397,105.25,6110.269,0.1601447946808845,0.14557000508542148
elementwise,aten::copy_,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",7,914393.353,1236,739.8004474110032,2.913,2731.082,0.15732838398874224,0.14300991613844852
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",7,787795.893,1580,498.60499556962026,4.096,3576.15,0.1355463207951142,0.12321024012533932
triton,triton_poi_fused__to_copy_0,triton_poi_fused__to_copy_0,7,761525.812,2160,352.5582462962963,350.726,356.709,0.13102635203394214,0.1191016340550585
