name,total_direct_kernel_time_sum,Count,Categories,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
_attn_fwd_2,278267285.3798828,4320,{'other'},278267.2853798828,68.10883370866989,68.10883370866989
aten::copy_,39754411.33300781,7843,"{'other', 'elementwise'}",39754.41133300781,9.730308710093299,77.83914241876319
aten::mm,29276040.634765625,8934,{'GEMM'},29276.040634765624,7.16561769206689,85.00476011083008
aten::addmm,23939107.291015625,13068,{'GEMM'},23939.107291015625,5.859347337190302,90.86410744802038
aten::cudnn_convolution,6800424.466796875,911,{'CONV_fwd'},6800.424466796875,1.6644751413200911,92.52858258934047
triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,2455257.640625,2464,{'triton'},2455.257640625,0.6009500330913091,93.12953262243178
triton_red_fused__to_copy_native_layer_norm_1,2114626.9990234375,2527,{'triton'},2114.6269990234373,0.5175771145204234,93.6471097369522
sgl_kernel::rmsnorm,1724719.90625,8640,{'other'},1724.71990625,0.4221432682194352,94.06925300517163
triton_poi_fused_all_to_all_single_clone_permute_view_0,1624945.8115234375,6480,{'triton'},1624.9458115234374,0.39772251312820156,94.46697551829983
triton_poi_fused_addmm_gelu_view_12,1522486.4736328125,2350,{'triton'},1522.4864736328125,0.37264451663728715,94.83962003493713
triton_poi_fused__to_copy_add_addmm_mul_view_13,1480222.064453125,2483,{'triton'},1480.222064453125,0.3622998596551171,95.20191989459225
triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,1401344.158203125,2830,{'triton'},1401.344158203125,0.3429936656383277,95.54491356023058
aten::fill_,1331515.296875,26283,{'elementwise'},1331.515296875,0.3259023201796967,95.87081588041028
quant_per_block_int8_kernel_0,1189586.666015625,4320,{'other'},1189.586666015625,0.29116380068573683,96.16197968109601
triton_poi_fused_copy__0,1101575.8779296875,2307,{'triton'},1101.5758779296875,0.269622238147651,96.43160191924366
Torch-Compiled Region: 8/0,1092126.6748046875,2160,{'other'},1092.1266748046876,0.26730944667652473,96.69891136592018
triton_poi_fused_add_mul_0,1036131.287109375,2160,{'triton'},1036.131287109375,0.2536039888330485,96.95251535475323
aten::mul,830536.77734375,2326,{'elementwise'},830.53677734375,0.20328257840233183,97.15579793315557
triton_poi_fused__to_copy_0,761525.798828125,2160,{'triton'},761.525798828125,0.18639141833162268,97.34218935148719
aten::cat,722399.0927734375,1314,"{'other', 'elementwise'}",722.3990927734375,0.17681474706533026,97.51900409855253
triton_poi_fused__unsafe_view_clone_permute_view_10,670632.7275390625,2768,{'triton'},670.6327275390624,0.16414438677976143,97.6831484853323
aten::add,657995.330078125,1476,{'elementwise'},657.995330078125,0.16105125133984677,97.84419973667214
fuse_scale_shift_kernel_blc_opt_3,623030.8701171875,2160,{'other'},623.0308701171875,0.15249333341592722,97.99669307008807
quant_per_block_int8_kernel_1,563078.0048828125,4320,{'other'},563.0780048828125,0.13781924147934937,98.13451231156742
triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_4,550600.251953125,2160,{'triton'},550.600251953125,0.13476518071117186,98.26927749227859
aten::div,534935.8994140625,1280,{'elementwise'},534.9358994140625,0.13093116630024135,98.40020865857883
triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,527517.904296875,2160,{'triton'},527.517904296875,0.12911553427149414,98.52932419285032
triton_poi_fused__unsafe_view_clone_permute_view_4,526399.6025390625,2160,{'triton'},526.3996025390625,0.1288418181989958,98.65816601104932
triton_poi_fused__unsafe_view_clone_permute_view_1,520732.447265625,2160,{'triton'},520.732447265625,0.12745472256684903,98.78562073361617
triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,517023.7109375,2160,{'triton'},517.0237109375,0.12654697049136976,98.91216770410755
triton_poi_fused__unsafe_view_clone_permute_view_8,516914.1796875,2160,{'triton'},516.9141796875,0.12652016157029244,99.03868786567784
triton_poi_fused_all_to_all_single_clone_permute_view_9,513601.00390625,2160,{'triton'},513.60100390625,0.12570922708324092,99.16439709276108
triton_poi_fused_all_to_all_single_clone_permute_view_6,491896.404296875,2160,{'triton'},491.896404296875,0.1203967989137201,99.2847938916748
aten::add_,481637.2783203125,1008,{'elementwise'},481.6372783203125,0.11788577033851372,99.40267966201331
triton_red_fused__to_copy_add_mul_native_layer_norm_0,436560.6240234375,723,{'triton'},436.5606240234375,0.10685278689794213,99.50953244891126
aten::silu,387100.3271484375,696,{'elementwise'},387.1003271484375,0.09474686100571234,99.60427930991698
triton_red_fused__unsafe_view_clone_mean_permute_view_2,313233.0361328125,2160,{'triton'},313.2330361328125,0.07666706756745414,99.68094637748443
aten::_efficient_attention_forward,269071.8427734375,24,{'other'},269.0718427734375,0.06585815278329626,99.74680453026772
aten::linalg_vector_norm,199017.8046875,720,{'reduce'},199.0178046875,0.048711692953847405,99.79551622322157
triton_red_fused__unsafe_view_clone_mean_permute_view_3,150481.5419921875,2160,{'triton'},150.4815419921875,0.03683193410888494,99.83234815733046
triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,135509.2470703125,2160,{'triton'},135.5092470703125,0.03316730805096003,99.86551546538142
aten::_upsample_nearest_exact2d,113027.0439453125,72,{'other'},113.0270439453125,0.02766455327346341,99.89318001865489
triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,91747.2802734375,2160,{'triton'},91.7472802734375,0.022456108150965697,99.91563612680585
triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,71956.9755859375,2160,{'triton'},71.9569755859375,0.01761222372105602,99.93324835052691
cuLaunchKernelEx,46092.1484375,4320,{'other'},46.0921484375,0.011281536271571972,99.94452988679848
triton_red_fused__unsafe_view_clone_mean_permute_view_5,43793.99609375,2902,{'triton'},43.79399609375,0.01071903940599909,99.95524892620448
triton_per_fused__unsafe_view_clone_mean_permute_view_6,36570.443359375,3220,{'triton'},36.570443359375,0.008950999187761767,99.96419992539224
triton_poi_fused_cat_2,27520.1064453125,2160,{'triton'},27.5201064453125,0.006735834400978384,99.97093575979322
triton_tem_fused_convolution_0,11010.1083984375,54,{'triton'},11.0101083984375,0.0026948393915579637,99.97363059918477
aten::bmm,10161.3134765625,96,{'GEMM'},10.1613134765625,0.002487087940977538,99.97611768712575
triton_poi_fused_abs_eq_max_0,9205.0576171875,4956,{'triton'},9.2050576171875,0.002253034299996349,99.97837072142575
triton_tem_fused_addmm_silu_t_3,9149.05859375,54,{'triton'},9.14905859375,0.0022393279522668784,99.98061004937801
triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,9110.6083984375,2160,{'triton'},9.1106083984375,0.0022299168640930395,99.98283996624211
aten::gather,8408.9111328125,50,{'other'},8.4089111328125,0.0020581691061306276,99.98489813534825
aten::_local_scalar_dense,7136.1865234375,4331,{'other'},7.1361865234375,0.0017466564227100255,99.98664479177096
triton_poi_fused__to_copy_add_0,6619.123046875,2796,{'triton'},6.619123046875,0.001620099719165283,99.98826489149012
triton_poi_fused_arange_0,5013.365234375,2796,{'triton'},5.013365234375,0.0012270736698449102,99.98949196515996
