name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,operation_count,total_direct_kernel_time_mean,total_direct_kernel_time_median,total_direct_kernel_time_std,total_direct_kernel_time_min,total_direct_kernel_time_max,total_direct_kernel_time_sum,ex_UID,kernel_details_summary,trunc_kernel_details,Percentage (%),Cumulative Percentage (%)
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 86400, 10, 128), (1, 86400, 10, 128), (1, 10, 675, 1), (1, 10, 1350, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (110592000, 1280, 128, 1), (6750, 675, 1, 1), (13500, 1350, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '110592000', '128', '1280', '86400', '86400', '675', '10', '1')",2160,125716.1574074074,125690.33154296875,793.0437784656214,122868.4912109375,129722.5654296875,271546900.0,55127,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(271546900.002), 'mean_duration_us': np.float64(125716.15740833333), 'median_duration_us': np.float64(125690.3315), 'std_dev_duration_us': np.float64(792.8601874131501), 'min_duration_us': np.float64(122868.491), 'max_duration_us': np.float64(129722.565)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(125716.16)}]",66.46394897250066,66.46394897250066
aten::addmm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((5120,), (21600, 5120), (5120, 5120), (), (), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar', 'c10::BFloat16')","((1,), (5120, 1), (1, 5120), (), (), (5120, 1))","('', '', '', '1', '1', '')",10800,2190.216468822338,2183.9384765625,30.316022024734387,2120.92578125,2289.6689453125,23654337.86328125,50374,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(12575.356000000002), 'mean_duration_us': np.float64(1.164384814814815), 'median_duration_us': np.float64(0.864), 'std_dev_duration_us': np.float64(0.4328516471021449), 'min_duration_us': np.float64(0.831), 'max_duration_us': np.float64(2.592)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'count': 10800, 'total_duration_us': np.float64(23641764.876000002), 'mean_duration_us': np.float64(2189.0523033333334), 'median_duration_us': np.float64(2182.7205), 'std_dev_duration_us': np.float64(30.210818320920332), 'min_duration_us': np.float64(2120.094), 'max_duration_us': np.float64(2288.836)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.16)}, {'name': 'nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN', 'stream': 7, 'mean_duration_us': np.float64(2189.05)}]",5.78964703601262,72.25359600851328
aten::copy_,other,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((5120, 5120), (5120, 5120), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((5120, 1), (5120, 1), ())","('', '', 'False')",966,21475.517496239325,13074.37890625,17619.468895097212,5197.9296875,72891.9443359375,20745349.901367188,21833,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 966, 'total_duration_us': np.float64(20745349.91), 'mean_duration_us': np.float64(21475.517505175983), 'median_duration_us': np.float64(13074.379), 'std_dev_duration_us': np.float64(17610.34673355786), 'min_duration_us': np.float64(5197.93), 'max_duration_us': np.float64(72891.944)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(21475.52)}]",5.077641752718003,77.33123776123129
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((21600, 13824), (13824, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((13824, 1), (1, 13824), (5120, 1))","('', '', '')",2160,5649.441022406684,5646.5234375,60.97399795669191,5427.408203125,5840.1484375,12202792.608398438,85906,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(3016.9669999999996), 'mean_duration_us': np.float64(1.3967439814814813), 'median_duration_us': np.float64(1.633), 'std_dev_duration_us': np.float64(0.503093359562616), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(2.176)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12199775.661), 'mean_duration_us': np.float64(5648.0442875), 'median_duration_us': np.float64(5644.902), 'std_dev_duration_us': np.float64(60.95032408731197), 'min_duration_us': np.float64(5426.576), 'max_duration_us': np.float64(5839.316)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.4)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5648.04)}]",2.9867613485795714,80.31799910981087
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((21600, 5120), (5120, 13824), (21600, 13824))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (13824, 1))","('', '', '')",2160,5617.126219346788,5609.62255859375,48.746458158301586,5478.5517578125,5824.9228515625,12132992.633789062,82766,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(3046.226), 'mean_duration_us': np.float64(1.4102898148148149), 'median_duration_us': np.float64(1.663), 'std_dev_duration_us': np.float64(0.5068586325739954), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(3.264)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(12129946.431), 'mean_duration_us': np.float64(5615.715940277778), 'median_duration_us': np.float64(5608.2195), 'std_dev_duration_us': np.float64(48.74164872809502), 'min_duration_us': np.float64(5476.728), 'max_duration_us': np.float64(5823.195)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.41)}, {'name': 'nvjet_tst_256x160_64x4_2x1_v_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(5615.72)}]",2.9696770734480222,83.2876761832589
aten::copy_,other,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((13824, 5120), (13824, 5120), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((5120, 1), (5120, 1), ())","('', '', 'False')",120,60809.59881998698,36087.01171875,50598.5792864393,14195.6904296875,174315.2939453125,7297151.8583984375,22013,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 120, 'total_duration_us': np.float64(7297151.857000001), 'mean_duration_us': np.float64(60809.59880833334), 'median_duration_us': np.float64(36087.0115), 'std_dev_duration_us': np.float64(50387.310789155155), 'min_duration_us': np.float64(14195.69), 'max_duration_us': np.float64(174315.294)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(60809.6)}]",1.7860543749944564,85.07373055825335
aten::copy_,other,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((5120, 13824), (5120, 13824), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((13824, 1), (13824, 1), ())","('', '', 'False')",120,59419.259448242185,35966.81884765625,48791.334320258684,13993.76171875,171687.0224609375,7130311.1337890625,22025,"[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'count': 120, 'total_duration_us': np.float64(7130311.135), 'mean_duration_us': np.float64(59419.259458333334), 'median_duration_us': np.float64(35966.819), 'std_dev_duration_us': np.float64(48587.61178114369), 'min_duration_us': np.float64(13993.762), 'max_duration_us': np.float64(171687.022)}]","[{'name': 'Memcpy DtoH (Device -> Pageable)', 'stream': 7, 'mean_duration_us': np.float64(59419.26)}]",1.7452183595327717,86.81894891778612
_attn_fwd_2,other,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((1, 86400, 10, 128), (1, 2048, 10, 128), (1, 2048, 10, 128), (1, 10, 675, 1), (1, 10, 32, 1), (1, 86400, 10, 128), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('signed char', 'signed char', 'c10::Half', 'float', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((110592000, 1280, 128, 1), (2621440, 1280, 128, 1), (2621440, 1280, 128, 1), (6750, 675, 1, 1), (320, 32, 1, 1), (110592000, 1280, 128, 1), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '110592000', '128', '1280', '2621440', '128', '1280', '2621440', '128', '1280', '110592000', '128', '1280', '86400', '2048', '675', '10', '1')",2160,3111.2895277235243,3102.26220703125,17.156356121407143,3067.900390625,3215.4658203125,6720385.3798828125,76376,"[{'name': '_attn_fwd', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(6720385.359), 'mean_duration_us': np.float64(3111.2895180555556), 'median_duration_us': np.float64(3102.2625), 'std_dev_duration_us': np.float64(17.152385167705997), 'min_duration_us': np.float64(3067.9), 'max_duration_us': np.float64(3215.466)}]","[{'name': '_attn_fwd', 'stream': 7, 'mean_duration_us': np.float64(3111.29)}]",1.644884736169224,88.46383365395533
aten::mm,GEMM,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((21600, 5120), (5120, 5120), (21600, 5120))","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16')","((5120, 1), (1, 5120), (5120, 1))","('', '', '')",2160,1968.2111246744792,1980.2529296875,53.29942515738976,1727.921875,2072.63671875,4251336.029296875,79425,"[{'name': 'Memset (Device)', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(2645.8959999999997), 'mean_duration_us': np.float64(1.2249518518518516), 'median_duration_us': np.float64(0.833), 'std_dev_duration_us': np.float64(0.43253047151948376), 'min_duration_us': np.float64(0.799), 'max_duration_us': np.float64(2.24)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'count': 2160, 'total_duration_us': np.float64(4248690.177), 'mean_duration_us': np.float64(1966.9861930555555), 'median_duration_us': np.float64(1978.7645), 'std_dev_duration_us': np.float64(53.28695616871127), 'min_duration_us': np.float64(1725.905), 'max_duration_us': np.float64(2071.805)}]","[{'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.22)}, {'name': 'nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT', 'stream': 7, 'mean_duration_us': np.float64(1966.99)}]",1.0405590375590408,89.50439269151437
aten::cudnn_convolution,CONV_fwd,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),"((1, 96, 6, 722, 1282), (96, 96, 3, 3, 3), (), (), (), (), (), (), ())","('float', 'float', 'ScalarList', 'ScalarList', 'ScalarList', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((533147904, 5553624, 925604, 1282, 1), (2592, 27, 9, 3, 1), (), (), (), (), (), (), ())","('', '', '[0, 0, 0]', '[1, 1, 1]', '[1, 1, 1]', '1', 'False', 'False', 'True')",138,22965.88766700634,22759.14697265625,552.6002184514706,22481.78515625,25682.3125,3169292.498046875,551895,"[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(361871.5800000001), 'mean_duration_us': np.float64(2622.2578260869573), 'median_duration_us': np.float64(2618.4565000000002), 'std_dev_duration_us': np.float64(14.195769978204858), 'min_duration_us': np.float64(2608.008), 'max_duration_us': np.float64(2682.953)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(608.261), 'mean_duration_us': np.float64(4.407688405797101), 'median_duration_us': np.float64(4.352), 'std_dev_duration_us': np.float64(0.1726443861481542), 'min_duration_us': np.float64(4.161), 'max_duration_us': np.float64(5.056)}, {'name': 'Memset (Device)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(195.10600000000002), 'mean_duration_us': np.float64(1.4138115942028988), 'median_duration_us': np.float64(1.6480000000000001), 'std_dev_duration_us': np.float64(0.5145180600022442), 'min_duration_us': np.float64(0.767), 'max_duration_us': np.float64(2.081)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(2581585.398), 'mean_duration_us': np.float64(18707.140565217393), 'median_duration_us': np.float64(18507.3715), 'std_dev_duration_us': np.float64(535.9697000354599), 'min_duration_us': np.float64(18231.224), 'max_duration_us': np.float64(21368.231)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(225032.16100000002), 'mean_duration_us': np.float64(1630.6678333333334), 'median_duration_us': np.float64(1630.313), 'std_dev_duration_us': np.float64(2.8776035610957513), 'min_duration_us': np.float64(1624.793), 'max_duration_us': np.float64(1639.45)}]","[{'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(2622.26)}, {'name': 'void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(4.41)}, {'name': 'Memset (Device)', 'stream': 7, 'mean_duration_us': np.float64(1.41)}, {'name': 'sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_t...', 'stream': 7, 'mean_duration_us': np.float64(18707.14)}, {'name': 'void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, ...', 'stream': 7, 'mean_duration_us': np.float64(1630.67)}]",0.7757175459160707,90.28011023743043
